Galaxy,"log(M_e,dyn)[M_sun]","log(M_e,dyn)_ERR","log(M_e,*)[M_sun]","log(M_e,*)_ERR",f_DM,f_DM_ERR,"(M/L)_dyn,r[M_sun/L_sun,r]","(M/L)_dyn,r_ERR","(M/L)_dyn,H[M_sun/L_sun,H]","(M/L)_dyn,H_ERR"
VCC0009,9.24,0.14,9.1,0.12,0.28,0.3,2.62,0.83,0.67,0.21
VCC0021,8.88,0.11,8.48,0.12,0.61,0.15,3.19,0.81,1.22,0.31
VCC0033,8.56,0.19,8.47,0.12,0.19,0.41,1.82,0.78,0.59,0.25
VCC0170,9.11,0.15,8.75,0.12,0.56,0.2,3.16,1.08,1.08,0.37
VCC0308,8.93,0.12,8.94,0.12,-0.03,0.4,1.53,0.42,0.47,0.13
VCC0389,9.04,0.09,9,0.12,0.08,0.31,1.82,0.36,0.52,0.1
VCC0397,9.02,0.08,8.57,0.12,0.64,0.12,5.73,1.08,1.35,0.25
VCC0437,9.42,0.1,8.96,0.12,0.65,0.13,4.54,1.02,1.37,0.31
VCC0523,9.31,0.07,9.11,0.12,0.37,0.2,1.98,0.3,0.76,0.11
VCC0543,9.16,0.08,8.84,0.12,0.52,0.16,3.05,0.56,1,0.19
VCC0634,9.15,0.09,8.96,0.12,0.36,0.22,1.66,0.34,0.75,0.15
VCC0750,9.26,0.08,8.5,0.12,0.83,0.06,8.35,1.52,2.78,0.51
VCC0751,8.83,0.1,8.75,0.12,0.17,0.29,1.97,0.43,0.58,0.13
VCC0781,9.09,0.09,8.66,0.12,0.63,0.13,4.36,0.87,1.29,0.26
VCC0794,9.15,0.13,8.47,0.12,0.79,0.08,4.73,1.37,2.3,0.66
VCC0856,9.01,0.12,8.84,0.12,0.33,0.26,2.27,0.64,0.72,0.2
VCC0917,8.75,0.09,8.37,0.12,0.58,0.15,3.7,0.8,1.15,0.25
VCC0940,9.3,0.08,8.71,0.12,0.74,0.09,6.32,1.16,1.85,0.34
VCC0990,8.99,0.07,8.74,0.12,0.43,0.18,2.87,0.47,0.85,0.14
VCC1010,9.33,0.07,9.17,0.12,0.29,0.23,2.57,0.41,0.68,0.11
VCC1087,9.26,0.07,8.99,0.12,0.46,0.17,1.82,0.29,0.88,0.14
VCC1122,9.01,0.09,8.62,0.12,0.59,0.14,3.81,0.76,1.18,0.24
VCC1183,9.33,0.07,8.89,0.12,0.64,0.12,4.27,0.71,1.33,0.22
VCC1261,9.41,0.06,9.18,0.12,0.42,0.18,2.85,0.43,0.82,0.12
VCC1304,8.81,0.12,8.52,0.12,0.48,0.2,3.13,0.84,0.92,0.25
VCC1355,8.89,0.18,8.72,0.12,0.32,0.34,1.9,0.8,0.71,0.3
VCC1407,8.93,0.09,8.59,0.12,0.54,0.16,3.74,0.8,1.04,0.22
VCC1431,9.2,0.06,8.93,0.12,0.46,0.17,3.49,0.47,0.89,0.12
VCC1453,9.15,0.08,8.94,0.12,0.4,0.2,2.72,0.49,0.79,0.14
VCC1528,9.05,0.06,8.79,0.12,0.46,0.17,3.22,0.47,0.88,0.13
VCC1549,9.01,0.08,8.78,0.12,0.42,0.2,3.53,0.68,0.83,0.16
VCC1684,8.85,0.09,8.34,0.12,0.69,0.11,4.24,0.88,1.54,0.32
VCC1695,8.84,0.11,8.71,0.12,0.27,0.28,1.67,0.44,0.66,0.17
VCC1861,9.06,0.09,8.89,0.12,0.33,0.23,2.17,0.44,0.72,0.14
VCC1895,8.73,0.13,8.52,0.12,0.38,0.25,2.41,0.72,0.78,0.23
VCC1910,9.03,0.07,9.03,0.12,0,0.33,2.05,0.35,0.48,0.08
VCC1912,9.23,0.08,8.91,0.12,0.52,0.16,3.36,0.6,0.99,0.18
VCC1947,9.11,0.06,8.91,0.12,0.36,0.2,3.19,0.44,0.75,0.1
VCC2083,8.93,0.1,8.27,0.12,0.78,0.08,6.51,1.55,2.17,0.52
