FCC,Sigma,Velocity,H3,H4,Error.Sigma,Error.Velocity,Error.H3,Error.H4
213,339.8137,1449.9713,0.0442,0.0255,6.4832,0.0034,1.9897,0.0000
167,196.4678,1801.1739,-0.0015,0.0305,1.2184,0.0066,1.4165,0.1846
219,225.5176,1920.1146,-0.0129,-0.0968,3.2870,0.0042,3.0814,0.0000
184,160.7276,1286.7913,-0.0212,0.1420,1.6992,0.0081,2.1006,0.3672
276,158.8412,1426.3693,-0.0188,0.0092,0.6441,0.0041,0.8039,0.0029
29,116.1258,1358.1011,-0.0086,-0.0156,1.0086,0.0051,0.9578,0.2459
179,116.6892,890.1691,-0.0338,-0.0153,1.4730,0.0075,1.5563,0.1879
147,159.1326,1343.0191,-0.0176,0.0338,1.4951,0.0068,1.8176,0.2119
83,131.6950,1522.0029,-0.0054,-0.0056,0.5972,0.0044,0.6361,0.0040
193,122.3899,960.5821,-0.0042,-0.0316,1.3667,0.0056,1.5693,0.1198
290,41.2083,1396.9464,-0.0034,0.0387,0.4546,0.0082,0.7423,0.0093
153,58.8867,1637.0467,-0.0003,0.0304,0.5222,0.0079,0.4012,0.1814
177,43.0576,1580.4384,-0.0013,0.0143,0.6864,0.0092,0.4325,0.5230
249,104.5814,1568.5668,0.0139,-0.0354,0.5797,0.0037,0.6727,0.1153
190,79.2564,1782.0956,0.0114,0.0188,7.8886,0.0098,0.6826,4.0947
277,79.8283,1645.9530,-0.0210,-0.0541,2.9007,0.0225,2.7051,0.0276
143,66.0774,1368.8682,-0.0075,-0.0095,1.0189,0.0097,0.6385,0.4219
235,29.9744,1992.5866,-0.0029,0.0172,7.4942,0.0417,9.5576,0.1930
301,56.7790,1033.6305,0.0082,-0.0428,1.8700,0.0085,13.0075,3.6117
263,35.4686,1733.7018,0.0678,0.0261,1.3586,0.0102,1.3442,0.0000
37,23.1160,1829.0487,0.0033,0.0062,11.7317,0.0910,10.9969,0.2844
33,34.6622,1976.0041,0.0278,0.0622,0.9357,0.0139,1.0635,0.0000
285,14.4437,890.7293,0.0154,-0.0002,5.1387,0.0314,5.3072,5.3199
182,38.8543,1692.4067,0.0035,-0.0375,0.4939,0.0110,0.7631,0.0120
136,30.9298,1237.3350,0.0243,0.0208,1.5543,0.0226,3.0951,0.0354
106,36.6946,2053.1470,0.0608,0.0461,1.2047,0.0138,2.6044,0.0296
202,31.5052,845.4551,0.0456,0.0044,1.0090,0.0224,1.1634,0.0000
113,10.3114,1381.8015,-0.0073,-0.0023,5.6974,0.0329,7.4425,5.5443
222,18.6047,807.8665,0.0033,-0.0221,3.8464,0.0402,4.1422,0.1708
100,26.4483,1648.0225,-0.0130,-0.0077,5.5318,0.0574,6.5970,0.1914
203,31.3815,1138.9494,0.0430,-0.0020,2.3254,0.0306,3.1981,0.0553
135,21.2401,1247.7423,0.0516,-0.0468,2.7843,0.0293,3.3434,0.1040
207,24.1795,1422.5261,-0.0520,-0.0070,4.8484,0.0405,6.1108,0.1797
245,25.3773,2188.0431,0.0150,-0.0010,4.3179,0.0523,4.2083,0.1492
252,24.4416,1359.0045,0.0008,0.0338,8.7130,0.0424,2.0590,0.0000
300,18.0232,1401.4274,0.0163,0.0020,5.4663,0.0583,5.7231,0.0000
266,24.0355,1556.0313,-0.0176,0.0174,4.7049,0.0315,5.0958,0.1544
46,32.2014,2240.7507,0.1002,-0.0692,5.6714,0.0225,5.9164,0.1441
188,15.4514,1088.7607,-0.0317,-0.0125,3.7701,0.0701,7.0113,0.0000
211,20.1410,2296.7103,-0.0199,-0.0091,5.7160,0.0337,4.7659,4.8223
164,11.0678,1440.3373,-0.0003,0.0042,5.2301,0.0449,5.6976,0.2568
306,14.0366,893.2473,0.0145,-0.0055,5.9076,0.0274,5.2902,0.0000
253,17.7121,1647.2012,0.0125,-0.0053,6.4887,0.0525,8.4942,0.2262
274,18.2740,972.9859,0.0099,0.0010,12.6537,0.0853,10.1432,0.2684
298,29.0552,1654.2287,0.0003,-0.0214,5.8133,0.0377,2.3012,0.0000
264,11.7375,1924.0310,0.0093,-0.0105,5.5398,0.0576,6.1291,4.9470
195,20.1151,1293.7575,-0.0165,-0.0127,10.4218,0.1004,11.8112,0.2628
250,18.6780,1251.4371,-0.0095,-0.0007,10.4047,0.0821,8.8416,0.3054
178,21.2195,1283.5992,0.0036,-0.0133,10.6095,0.1324,13.7333,0.2695
134,22.8041,1397.2789,-0.0045,-0.0130,8.3158,0.0924,9.8559,0.2453
51,17.1884,2107.6849,-0.0064,0.0121,9.2307,0.0860,11.8455,5.9685
