FCC,log(M_*/M_/odot)_r,ERR_log(M_*)_r,Sigma(km/s),ERR_Sigma(km/s),"log($L_{r,1/2}$($L_{Sun}$)",ERR_L_r,"log($M_{dyn,1/2}$)($M_{Sun}$)",ERR_DynM,$(M/L)_r$($M_{Sun}/L_{Sun}$),ERR_M/L_r
213,11.2890,0.0020,339.8137,6.4832,10.7630,-0.0320,12.0712,0.0166,20.3349,1.6874
167,10.8922,0.0019,143.4000,1.2184,10.3590,-0.0240,10.9098,0.0074,3.5553,0.2056
219,10.9633,0.0018,154.3000,3.2870,10.3550,-0.0200,10.7427,0.0185,2.4419,0.1532
184,10.8111,0.0021,143.4000,1.6992,10.2910,-0.0360,11.1282,0.0103,6.8747,0.5927
276,10.6509,0.0025,123.3000,0.6441,10.2030,-0.0440,11.1750,0.0046,9.3752,0.9549
29,10.6949,0.0020,116.1258,1.0086,10.1790,-0.0280,10.7200,0.0075,3.4757,0.2321
179,10.5091,0.0024,70.0000,1.4730,10.0470,-0.0400,10.5115,0.0183,2.9145,0.2951
147,10.4283,0.0020,131.1000,1.4951,9.9870,-0.0240,10.6537,0.0099,4.6418,0.2775
83,10.4017,0.0023,102.8000,0.5972,9.8830,-0.0400,10.7156,0.0051,6.8017,0.6315
193,10.1979,0.0020,95.3000,1.3667,9.6910,-0.0200,10.0978,0.0125,2.5520,0.1385
249,9.8011,0.0020,103.8000,0.5797,9.2390,-0.0200,9.8340,0.0049,3.9355,0.1865
190,9.6728,0.0022,74.6200,7.8886,9.2310,-0.0280,9.9045,0.0918,4.7157,1.0424
277,9.4690,0.0022,80.1700,2.9007,9.0830,-0.0280,9.8149,0.0314,5.3947,0.5229
143,9.4560,0.0022,62.3100,1.0189,9.0190,-0.0240,9.5293,0.0142,3.2382,0.2079
235,9.0386,0.0034,29.9744,7.4942,8.9830,-0.0560,9.5283,0.2172,3.5104,1.8128
301,9.3652,0.0022,48.7400,1.8700,8.8910,-0.0240,9.2051,0.0333,2.0611,0.1949
263,9.0004,0.0027,28.0000,1.3586,8.8670,-0.0360,9.0595,0.0421,1.5579,0.1988
37,9.0192,0.0033,23.1160,11.7317,8.8230,-0.0560,9.2064,0.4408,2.4178,2.4738
33,9.2439,0.0027,34.6622,0.9357,8.7830,-0.0400,9.2558,0.0235,2.9707,0.3172
285,8.7834,0.0035,14.4437,5.1387,8.7430,-0.0600,8.7817,0.3090,1.0933,0.7925
182,9.1682,0.0024,39.2000,0.4939,8.7110,-0.0320,9.1205,0.0109,2.5675,0.1999
136,9.0824,0.0028,30.9298,1.5543,8.6630,-0.0440,9.1723,0.0437,3.2308,0.4611
106,8.8965,0.0027,36.6946,1.2047,8.5230,-0.0360,9.1050,0.0285,3.8201,0.4040
202,8.9093,0.0028,31.5052,1.0090,8.4910,-0.0440,9.0684,0.0278,3.7799,0.4531
113,8.4790,0.0035,10.3114,5.6974,8.3710,-0.0560,8.2520,0.4799,0.7605,0.8461
222,8.7708,0.0033,18.6047,3.8464,8.3430,-0.0520,8.6946,0.1796,2.2469,0.9672
100,8.7505,0.0035,26.4483,5.5318,8.3390,-0.0560,9.0893,0.1817,5.6275,2.4634
203,8.7570,0.0033,31.3815,2.3254,8.3150,-0.0520,9.1470,0.0644,6.7931,1.2943
135,8.7083,0.0032,21.2401,2.7843,8.2830,-0.0520,8.7707,0.1139,3.0742,0.8861
207,8.5125,0.0030,24.1795,4.8484,8.1910,-0.0440,8.6972,0.1742,3.2080,1.3269
245,8.5729,0.0035,25.3773,4.3179,8.1550,-0.0560,8.9193,0.1478,5.8126,2.1153
252,8.5849,0.0032,24.4416,8.7130,8.1190,-0.0480,8.7712,0.3096,4.4903,3.2396
300,8.5498,0.0041,18.0232,5.4663,8.1070,-0.0680,8.7786,0.2634,4.6953,2.9414
266,8.4988,0.0028,24.0355,4.7049,8.0950,-0.0360,8.5497,0.1700,2.8491,1.1401
46,8.3101,0.0031,32.2014,5.6714,8.0790,-0.0440,8.8942,0.1530,6.5342,2.3950
188,8.4255,0.0035,15.4514,3.7701,8.0590,-0.0520,8.4128,0.2119,2.2585,1.1348
211,8.3387,0.0029,20.1410,5.7160,7.9990,-0.0400,8.3749,0.2465,2.3763,1.3664
164,8.3351,0.0034,11.0678,5.2301,7.9550,-0.0520,8.0344,0.4105,1.2008,1.1439
306,7.9136,0.0033,14.0366,5.9076,7.9190,-0.0440,8.1039,0.3656,1.5310,1.2980
253,8.3048,0.0036,17.7121,6.4887,7.8870,-0.0560,8.4832,0.3182,3.9471,2.9364
274,8.1779,0.0039,18.2740,12.6537,7.8550,-0.0600,8.5531,0.6014,4.9908,6.9460
298,8.1686,0.0033,29.0552,5.8133,7.8030,-0.0440,8.7182,0.1738,8.2262,3.3956
264,8.0985,0.0038,11.7375,5.5398,7.7590,-0.0560,8.0992,0.4100,2.1890,2.0855
195,8.1332,0.0041,20.1151,10.4218,7.7310,-0.0640,8.6621,0.4500,8.5328,8.9308
250,7.9732,0.0040,18.6780,10.4047,7.5790,-0.0600,8.4559,0.4839,7.5320,8.4557
178,7.9490,0.0043,21.2195,10.6095,7.5630,-0.0680,8.6535,0.4343,12.3176,12.4674
134,7.6366,0.0040,22.8041,8.3158,7.3950,-0.0560,8.4788,0.3167,12.1280,8.9825
51,7.5933,0.0037,17.1884,9.2307,7.2150,-0.0520,8.0673,0.4665,7.1178,7.6923
